Resource ID,Latitude,Longitude,Street,City,State,Zip Code,Historic Name,Current Name,Extant,Neighborhood,Planning District,Inventory,Construction Start Year,Construction End Year,Construction Date Precision,Original Architect,Philadelphia Register Individual Designation Year,National Register Individual Designation Year,National Historic Landmark Individual Designation Year,Philadelphia Register Historic District,Photo URL,Resource URL
1,39.94367992,-75.15623521,825 Lombard St,Philadelphia,PA,19147,19th District Police Station,,,Washington Square West,Central,African American Historic Site,,1908,,Bissell & Sinkler,,,,,,http://www.preservephiladelphia.org/historic-resources/1
2,39.9442633,-75.15294886,631 Pine St,Philadelphia,PA,19106,A. M. E. Book Concern,,,Society Hill,Central,African American Historic Site,,,,,,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/2
3,40.03698106,-75.17546369,5801-03 Germantown Ave,Philadelphia,PA,19144,Aces Museum,,Yes,"Germantown, Morton",Upper Northwest,African American Historic Site,,1900,circa,,,,,,http://pagp.webfactional.com/static/media/photos/5801-03GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/3
4,39.946816,-75.149662,05th St and Saint James St,Philadelphia,PA,19106,African Episcopal Church of St. Thomas Site #1,,No,Society Hill,Central,African American Historic Site,,1794,circa,,,,,,,http://www.preservephiladelphia.org/historic-resources/4
5,39.948445,-75.160414,203-09 S 12th St,Philadelphia,PA,19107,African Episcopal Church of St. Thomas Site #2,,No,Washington Square West,Central,African American Historic Site,1889,1890,,Frank Miller,,,,,,http://www.preservephiladelphia.org/historic-resources/5
6,39.98699,-75.251227,6361 Lancaster Ave,Philadelphia,PA,19151,African Episcopal Church of St. Thomas Site #3,,Yes,Overbrook,West Park,African American Historic Site,,1899,,Frederick Mann,,,,,,http://www.preservephiladelphia.org/historic-resources/6
7,39.977493,-75.212731,Belmont Ave and Parkside Ave,Philadelphia,PA,19104,African-American Baseball Fields,,,West Park,West Park,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/7
8,39.942174,-75.145437,"159, 529 Lombard St",Philadelphia,PA,19147,Afro-American Insurance Company,,,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/8
9,39.92060673,-75.15526379,2221 S 05th St,Philadelphia,PA,19148,Alain Leroy Locke House,,,Whitman,South,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/9
10,39.94356602,-75.17074741,1701-11 Bainbridge St,Philadelphia,PA,19146,First Church of the Covenanters Presbyterian Church,New Light Beulah Baptist Church,Yes,Graduate Hospital,Central,"African American Historic Site, Historic Religious Sites",,1870,circa,,,,,,http://pagp.webfactional.com/static/media/photos/1701-11BainbridgeSt.jpg,http://www.preservephiladelphia.org/historic-resources/10
