Name,County,Location,Dedicated Date,Latitude,Longitude,Marker Type,Missing?,Categories,Marker Text
Berean Institute,Philadelphia,"1901 W. Girard Ave., Philadelphia","Wednesday, October 17, 1990",39.97258,-75.16755,City,No,"African American, Education, Religion","Founded in 1899 by Rev. Matthew Anderson, pastor of Berean Presbyterian Church and founder of Berean Savings Association, this school taught Blacks skilled trades not available elsewhere. Later the curriculum was expanded to meet changing student needs."
Robert Purvis (1810-1898),Philadelphia,"1601 Mt. Vernon St., Philadelphia","Friday, February 21, 1992",39.96494,-75.16432,City,No,"African American, Civil Rights, Professions & Vocations, Underground Railroad, Writers","An abolitionist, Purvis fought for the rights of Blacks through his lecturing, writing, and activity in antislavery societies. As an agent for the Underground Railroad, he built a secret area here at his house to hide slaves."
Joseph Huston (1866-1940),Philadelphia,"5829 Wissahickon Ave., Germantown, Philadelphia","Thursday, October 20, 2005",40.02888,-75.18546,City,No,"Buildings & Architecture, Houses & Homesteads, Professions & Vocations","Oaks Cloister, built in 1900, was the home and studio of Philadelphia born Huston, architect of the PA Capitol. His Tudor home incorporates architectural elements and artwork by many capitol artists. He began his career with Furness and Evans, starting his firm in 1895."
Knowlton,Philadelphia,"8001 Verree Rd., Philadelphia","Saturday, November 12, 1994",40.07233,-75.07452,City,No,"Buildings & Architecture, Houses & Homesteads","Country house designed by Frank Furness (1839-1912), one of the 19th century's most innovative architects. Built in 1881 for banker William Rhawn, its design captured the spirit of the Victorian age and set new standards for domestic architecture."
National Funeral for President Washington,Philadelphia,"SE corner, N 4th & Cherry Streets, Philadelphia","Tuesday, December 14, 1999",39.95296,-75.14671,Roadside,No,"George Washington, Government & Politics, Government & Politics 18th Century","George Washington died on December 14, 1799. Congress set Dec. 26 as a day of formal mourning in Philadelphia, the nation's capital from 1790 to 1800. The national funeral service was in Zion Lutheran Church--located at this site, 1766-1870--and among those attending was President John Adams. In his funeral oration, Congressman Henry Lee spoke the famous tribute: ""First in war, first in peace and first in the hearts of his countrymen."""
Joseph Bonaparte (1768-1844),Philadelphia,"260 S 9th Street, Philadelphia","Sunday, January 09, 2000",39.94634,-75.15614,City,No,"Government & Politics, Government & Politics 19th Century","The elder brother of Napoleon and deposed king of Naples & Spain lived here, 1815,-1816. The house was built about 1813. During Joseph's occupancy here, this was a gathering place for Bonapartist refugees & other French nationals."
Laurel Hill Cemetery,Philadelphia,"3822 Ridge Ave., Philadelphia","Saturday, May 20, 2000",40.00427,-75.18743,Roadside,No,Environment,"Founded in 1836 and designed by Scottish architect John Notman, this was the nation's second major rural cemetery. With its rolling landscape, horticultural plantings, and eclectic architecture, it offered a romantic alternative to the crowded urban environment. Overlooking the Schuylkill River, 3.5 miles north of center-city, it had grown by 1861 to 78 acres. This cemetery was designated a National Historic Landmark in 1998."
ENIAC,Philadelphia,"200 S 33rd St., S of Walnut St., Philadelphia","Thursday, June 15, 2000",39.95235,-75.19003,City,No,"Business & Industry, Invention","ENIAC, the Electronic Numerical Integrator and Computer, was invented by J. Presper Eckert and John W. Mauchly. It was built here at the University of Pennsylvania in 1946. The invention of this first all-purpose digital computer signaled the birth of the Information Age."
First Republican National Convention,Philadelphia,"808 Locust Street, Philadelphia","Saturday, June 17, 2000",39.94736,-75.15515,City,No,"Abraham Lincoln, Government & Politics, Government & Politics 19th Century","In the Musical Fund Hall here in June 1856, John C. Fremont was nominated for President of the U.S. He lost the election to James Buchanan. Formed in 1854 the Republican Party opposed the extension of slavery; Lincoln was its first nominee elected President (1860)."
Samuel Hopkins (1743-1818),Philadelphia,"119 Arch St., Philadelphia","Saturday, July 29, 2000",39.95194,-75.14265,City,No,"Business & Industry, George Washington, Government & Politics, Invention, Science & Medicine","The holder of the first U.S. patent, signed by George Washington, lived here. On July 31, 1790, Hopkins received a patent for an improvement in making potash, a major industrial chemical. In succeeding centuries, the U.S. Government issued millions of patents."
